service,from_existing,from_nonuser,from_residual,residual_ratio,total_inflow,nonuser_ratio,novelty,BlueOceanScore,estimated_sales,arpu,eps,tau,nonuser_mass,D_nonuser,residual_mass
new3,8635983.594610829,2171921.6200418607,2554.41690456341,0.000236291239375864,10810459.631557254,0.20090927620706484,0.48333538,0.010544534079972306,14053597521.024431,1300,0.1,0.2,0.1752646377390957,0.6987082362174988,0.1
new4,15116133.207901865,1600235.679935751,1830.8649268206173,0.00010951328216531655,16718199.752764437,0.09571818159853869,0.25952023,0.00417147682357194,26749119604.4231,1600,0.1,0.2,0.1752646377390957,0.6987082362174988,0.1
new5,20638215.78204825,1921951.9262124402,4488.422694345189,0.00019891385307608576,22564656.13095504,0.08517532529892334,0.22945751,0.004429752533950531,27077587357.14605,1200,0.1,0.2,0.1752646377390957,0.6987082362174988,0.1
new6,13006210.381280644,1951879.8218882238,2816.501877062239,0.0001882574320253134,14960906.705045927,0.13046534280104194,0.4355607,0.008539578368071649,17953088046.05511,1200,0.1,0.2,0.1752646377390957,0.6987082362174988,0.1
new7,9106284.44625161,2420797.3865332175,3775.198845987505,0.0003273996751179541,11530857.031630816,0.20994080317643507,0.35776564,0.00869944886325596,13837028437.95698,1200,0.1,0.2,0.1752646377390957,0.6987082362174988,0.1
new8,12082576.63465594,2057700.0889327284,3055.198738531952,0.00021601690148478377,14143331.922327198,0.145489061575679,0.45153052,0.009332625673574266,16971998306.792637,1200,0.1,0.2,0.1752646377390957,0.6987082362174988,0.1
new9,11873293.820455456,2021593.8399536882,2841.754636879028,0.00020447618110930226,13897729.415046023,0.14546216720589342,0.4041722,0.008207200065275007,16677275298.055227,1200,0.1,0.2,0.1752646377390957,0.6987082362174988,0.1
new10,13048467.127592823,2154812.5537594957,3814.789493577359,0.0002508559081349063,15207094.470845895,0.14169784753363437,0.31940383,0.00691328205985228,18248513365.015076,1200,0.1,0.2,0.1752646377390957,0.6987082362174988,0.1
new11,10731757.760045717,2389957.7493681093,4274.325624140306,0.0003256383463539337,13125989.835037965,0.18207828738282705,0.40825713,0.009800735343970954,15751187802.045559,1200,0.1,0.2,0.1752646377390957,0.6987082362174988,0.1
new12,15441443.266207049,1597347.4696273406,1865.142546815137,0.00010945250934744644,17040655.878381204,0.09373744068465292,0.33141217,0.005317438912166915,20448787054.057446,1200,0.1,0.2,0.1752646377390957,0.6987082362174988,0.1
new13,8962896.811676554,2439388.2033502446,3807.008848927782,0.00033376978205671017,11406092.023875728,0.21386713330420368,0.42460322,0.010403964702828545,13687310428.650873,1200,0.1,0.2,0.1752646377390957,0.6987082362174988,0.1
new14,23097365.03960896,1592287.843906926,2929.3268664938128,0.00011863185638244557,24692582.21038238,0.06448446056959664,0.360698,0.005768992772516563,29631098652.458855,1200,0.1,0.2,0.1752646377390957,0.6987082362174988,0.1
new15,8813138.852732917,2229681.9774818495,2828.2996398648506,0.00025605553884745503,11045649.129854633,0.20186065583555193,0.43818122,0.009813667710677721,13254778955.82556,1200,0.1,0.2,0.1752646377390957,0.6987082362174988,0.1
new16,12014429.30186689,2442793.9287842717,5132.5321027278915,0.0003548890780260107,14462355.76275389,0.16890705559016894,0.28775883,0.007060738873975646,17354826915.30467,1200,0.1,0.2,0.1752646377390957,0.6987082362174988,0.1
new17,9143552.027188893,2138650.368977149,2577.8397009389387,0.0002284350822132683,11284780.23586698,0.18951635071986334,0.50773376,0.010907130210588608,13541736283.040377,1200,0.1,0.2,0.1752646377390957,0.6987082362174988,0.1
new18,8233953.723398281,2159169.475047627,2392.57860028422,0.00023015487173490235,10395515.777046192,0.20770200549502113,0.5307901,0.011511825604652965,12474618932.455431,1200,0.1,0.2,0.1752646377390957,0.6987082362174988,0.1
new19,15538634.701544955,1997888.2678700273,3668.0804458943085,0.00020912431543460312,17540191.049860876,0.1139034496369339,0.3752719,0.007530986875824445,21048229259.83305,1200,0.1,0.2,0.1752646377390957,0.6987082362174988,0.1
new0,3531753.6922924956,498365.16864087636,180.20904654697375,4.4713566764630105e-05,4030299.0699799196,0.12365463703500282,0.54768103,0.0027416375923743756,4836358883.9759035,1200,0.2,0.05,0.1752646377390957,0.6987082362174988,0.1
new1,3268438.9461321253,602136.8450588343,305.06262045139835,7.88096125849553e-05,3870880.853811411,0.1555555099211975,0.41972306,0.002538590792919915,5806321280.717116,1500,0.2,0.05,0.1752646377390957,0.6987082362174988,0.1
new2,4050717.088871687,573234.6413950293,283.1435686514277,6.123036056267331e-05,4624234.873835368,0.12396313272028613,0.40198883,0.0023146273538005987,4624234873.835368,1000,0.2,0.05,0.1752646377390957,0.6987082362174988,0.1
new3,2158799.4533173824,524188.55390327505,178.96312341258513,6.669846692009486e-05,2683166.9703440703,0.19536188381003244,0.48333538,0.0025449003407673394,3488117061.4472914,1300,0.2,0.05,0.1752646377390957,0.6987082362174988,0.1
new4,5248594.491880132,443048.6142928075,146.33798449986156,2.571036506806764e-05,5691789.444157439,0.07783995150199946,0.25952023,0.0011549342696272797,9106863110.651903,1600,0.2,0.05,0.1752646377390957,0.6987082362174988,0.1
